Salem Suleiman;352966450;7 July 1970;0523269515;Z92R21;Audi;2011;01 January 2012;11 February 2012;5248
Tariq Oday;633254534;25 June 1986;0532207666;O46E85;Ford;2012;01 January 2012;03 February 2012;2541
Suleiman Tariq;376439121;15 June 1971;0527427585;M83P71;Nissan;2012;01 January 2012;31 January 2012;2880
Amer Khalaf;551812666;12 May 1973;0554783834;W89Y12;Ford;2011;01 January 2012;08 February 2012;2432
Saba Abdallah;727818913;17 January 1978;0565886069;G56L50;Nissan;2012;01 January 2012;20 February 2012;5775
Aseel Abedlrahman;448093315;5 October 1973;0534854472;D27G81;Mercedes;2012;01 January 2012;05 January 2012;592
Aseel Zeyad;631834656;21 April 1989;0579859875;S52Q75;Mazda;2012;02 January 2012;14 March 2012;7884
Salma Khalid;792217639;23 April 1992;0551062961;O48N10;Honda;2010;02 January 2012;07 March 2012;6825
Khalid Nassar;515352272;23 November 1997;0560133401;E82D14;Honda;2010;02 January 2012;04 February 2012;3069
Sana Tariq;915680421;11 January 1988;0553524659;V23P96;Volkswagen;2011;02 January 2012;29 January 2012;3294
Suleiman Khalaf;129600551;11 July 1992;0534838209;U56K84;Mercedes;2011;02 January 2012;14 January 2012;1824
Sana Abdullah;520742101;11 August 1984;0576654792;O15X13;Volkswagen;2012;02 January 2012;04 January 2012;244
Amer Abdullah;623593535;6 September 1970;0518201205;P88O70;BMW;2012;02 January 2012;05 January 2012;480
Nassar Abedlrahman;491731090;4 December 1988;0554140431;M38V49;Ford;2011;02 January 2012;08 January 2012;462
Sana Khalid;499193245;20 April 1976;0514734783;K81C96;BMW;2010;02 January 2012;13 March 2012;8804
Mohammad Jamal;701260059;9 April 1994;0521970281;F23X97;Mazda;2010;02 January 2012;16 January 2012;1575
Ahmad Abdallah;770166524;10 March 1999;0569552942;J84K48;Ford;2012;02 January 2012;22 March 2012;5360
Salem Khalaf;604242054;29 February 1990;0564698661;U39C92;Nissan;2012;02 January 2012;16 March 2012;6882
Khalid Abdul_Kreem;294091821;13 October 1986;0542386805;E14D45;BMW;2010;02 January 2012;02 February 2012;4278
Oday Nassar;818464128;20 December 1978;0539208381;E95G84;Nissan;2012;02 January 2012;29 February 2012;5742
Abedlrahman Tariq;298883475;15 April 1998;0552045023;H28P49;Kia;2012;02 January 2012;05 January 2012;219
Nassar Suleiman;502459248;28 July 2000;0588621451;E30B73;Ford;2011;02 January 2012;18 January 2012;976
Salam Alzeer;688723006;9 May 1985;0577446062;E68B35;Volkswagen;2011;02 January 2012;24 February 2012;7632
Abedlrahman Awwad;471241006;11 February 1976;0581327399;D96N10;Mazda;2012;02 January 2012;16 March 2012;7770
Salma Alzeer;975430181;2 December 1976;0534845661;I86L81;Honda;2012;02 January 2012;15 February 2012;4158
Nassar Khalid;176576674;21 April 1979;0547707719;P24H17;BMW;2012;02 January 2012;22 January 2012;2440
Abdul_Kreem Khalid;846245265;8 December 2002;0549343154;J98A44;Hyundai;2010;02 January 2012;10 March 2012;4964
Amer Oday;141186760;8 August 1993;0579924304;C29P18;Mazda;2011;02 January 2012;08 January 2012;540
Salam Ahmad;751581586;9 November 1993;0549517286;T34P55;Kia;2010;02 January 2012;18 March 2012;4864
Zeyad Jamal;540271118;18 February 1982;0542645112;O15X13;Volkswagen;2012;05 January 2012;13 January 2012;992
Khalid Abdullah;785288852;8 November 1974;0558535365;D27G81;Mercedes;2012;06 January 2012;21 March 2012;10350
Awwad Awwad;805427817;19 March 1971;0576498104;P88O70;BMW;2012;06 January 2012;15 March 2012;8970
Abdullah Abdallah;119594922;15 February 1973;0579844698;H28P49;Kia;2012;06 January 2012;15 February 2012;2560
Mohammad Mohammad;363503457;11 February 1994;0584578991;M38V49;Ford;2011;09 January 2012;16 February 2012;2470
Jaber Salem;414297393;26 March 1983;0532337368;C29P18;Mazda;2011;09 January 2012;16 March 2012;6733
Jamal Zeyad;819761943;29 December 1971;0555389254;O15X13;Volkswagen;2012;14 January 2012;25 January 2012;1342
Saba Salem;575158026;18 September 1976;0534927930;U56K84;Mercedes;2011;15 January 2012;05 March 2012;6600
Aseel Ahmad;951994962;28 December 1988;0564418833;F23X97;Mazda;2010;17 January 2012;11 March 2012;5913
Suleiman Jaber;736549209;4 August 1979;0517286578;E30B73;Ford;2011;19 January 2012;15 February 2012;1647
Haneen Jaber;901576906;28 March 1971;0542776129;P24H17;BMW;2012;23 January 2012;21 March 2012;7308
Khalid Tariq;413084280;21 June 1981;0586894849;O15X13;Volkswagen;2012;26 January 2012;18 February 2012;3128
Nassar Abdallah;661116484;24 April 1974;0534566789;V23P96;Volkswagen;2011;30 January 2012;17 March 2012;7426
Abdullah Khalaf;583313663;23 July 1985;0587466154;M83P71;Nissan;2012;01 February 2012;14 March 2012;4851
Sana Zeyad;214865814;17 June 1984;0591931382;E14D45;BMW;2010;03 February 2012;13 March 2012;6084
Haneen Tariq;212678753;18 October 2000;0515983999;O46E85;Ford;2012;04 February 2012;02 March 2012;1998
Abdallah Suleiman;631841136;29 January 1999;0588589825;E82D14;Honda;2010;05 February 2012;20 April 2012;7650
Saba Khalaf;837946718;21 July 1991;0560131503;W89Y12;Ford;2011;09 February 2012;30 March 2012;3000
Abedlrahman Abdullah;385029353;8 January 1999;0520296478;Z92R21;Audi;2011;12 February 2012;16 April 2012;9984
Aseel Suleiman;658815857;15 October 2002;0516869135;I86L81;Honda;2012;16 February 2012;19 April 2012;6237
Aseel Mohammad;787546989;8 June 1974;0544598018;H28P49;Kia;2012;16 February 2012;18 April 2012;4278
Tariq Khalid;704580364;29 May 1978;0574357064;E30B73;Ford;2011;16 February 2012;14 March 2012;1998
Salem Amer;138253401;8 May 1982;0544207542;M38V49;Ford;2011;17 February 2012;21 April 2012;4288
Abedlrahman Abedlrahman;872538462;15 May 1996;0586477065;O15X13;Volkswagen;2012;19 February 2012;18 April 2012;8614
Oday Abdullah;752417176;27 July 1982;0544305760;G56L50;Nissan;2012;21 February 2012;07 March 2012;1372
Salam Abdul_Kreem;713901383;29 November 1981;0593132855;E68B35;Volkswagen;2011;25 February 2012;29 February 2012;616
Zeyad Khalid;667432475;21 March 1996;0522089807;E95G84;Nissan;2012;01 March 2012;17 May 2012;9240
Salem Jamal;326637342;8 July 1980;0535122413;E68B35;Volkswagen;2011;01 March 2012;29 April 2012;7434
Amer Jaber;523541633;27 July 1970;0586058151;O46E85;Ford;2012;03 March 2012;28 March 2012;1775
Aseel Khalaf;203334321;10 February 1971;0586492998;U56K84;Mercedes;2011;06 March 2012;14 April 2012;5850
Awwad Suleiman;168925632;21 March 1985;0543598669;O48N10;Honda;2010;08 March 2012;07 May 2012;6030
Sana Khalaf;476632167;7 May 1970;0540845320;G56L50;Nissan;2012;08 March 2012;09 March 2012;120
Abdallah Ahmad;939454535;19 April 1975;0534539714;G56L50;Nissan;2012;10 March 2012;21 March 2012;1006
Salma Ahmad;235693108;15 April 1978;0574379865;J98A44;Hyundai;2010;11 March 2012;11 April 2012;1860
Tariq Khalaf;273462247;28 November 1983;0549900030;F23X97;Mazda;2010;12 March 2012;17 March 2012;585
Haneen Khalid;408501337;8 April 2000;0561805695;K81C96;BMW;2010;14 March 2012;28 May 2012;9300
Mohammad Khalaf;198809439;21 September 1991;0552026946;E14D45;BMW;2010;14 March 2012;26 May 2012;9490
Jaber Oday;459393247;16 May 1994;0527722927;S52Q75;Mazda;2012;15 March 2012;30 April 2012;4968
Amer Abdallah;971700158;15 November 2002;0542952851;M83P71;Nissan;2012;15 March 2012;10 April 2012;2574
Razan Salem;966880138;19 April 1987;0530561131;E30B73;Ford;2011;15 March 2012;20 May 2012;5214
Salem Jaber;670727844;14 August 1988;0541455871;P88O70;BMW;2012;16 March 2012;27 April 2012;6720
Ahmad Salem;473228583;25 August 1998;0536129931;U39C92;Nissan;2012;17 March 2012;03 June 2012;8775
Mariam Mohammad;500858530;19 November 1972;0547525269;D96N10;Mazda;2012;17 March 2012;01 April 2012;1372
Oday Zeyad;654867031;20 December 1982;0588576180;C29P18;Mazda;2011;17 March 2012;23 April 2012;4440
Sana Oday;563812608;16 February 1996;0513348965;V23P96;Volkswagen;2011;18 March 2012;22 May 2012;8190
Tariq Ahmad;427568501;6 April 1990;0588275044;F23X97;Mazda;2010;18 March 2012;30 May 2012;7774
Razan Abdallah;491688893;2 February 1971;0590953927;T34P55;Kia;2010;19 March 2012;08 May 2012;3550
Zeyad Abdullah;185395080;29 February 1991;0599595564;D27G81;Mercedes;2012;22 March 2012;18 May 2012;8094
Jamal Suleiman;696146000;26 March 1974;0544837078;P24H17;BMW;2012;22 March 2012;23 March 2012;158
